state,avg_max_aqi,avg_x90th_percentile_aqi,avg_median_aqi,avg_days_with_aqi,avg_good_days,avg_moderate_days,avg_unhealthy_for_sensitive_groups_days,avg_unhealthy_days,avg_very_unhealthy_days,avg_hazardous_days,avg_days_co,avg_days_no2,avg_days_ozone,avg_days_pm2_5,avg_days_pm10,year
Alabama,145.52380952380952,93.57142857142857,54.38095238095238,184.23809523809524,69.76190476190476,88.38095238095238,20,5.666666666666667,0.42857142857142855,0,2.238095238095238,0,93.19047619047619,71.47619047619048,17.333333333333332,1
Alaska,107,51.666666666666664,23.666666666666668,194.16666666666666,167.66666666666666,24.666666666666668,1.5,0.3333333333333333,0,0,49.333333333333336,0,59.666666666666664,50.166666666666664,35,1
Arizona,125.58333333333333,79.41666666666667,48.75,221.16666666666666,104.25,91.41666666666667,23.333333333333332,2.1666666666666665,0,0,0.25,12.666666666666666,145.91666666666666,37.833333333333336,24.5,1
Arkansas,112.94444444444444,81.05555555555556,55.44444444444444,118.94444444444444,69.33333333333333,41.94444444444444,6.388888888888889,1.2777777777777777,0,0,0.8333333333333334,2.111111111111111,85.66666666666667,30.166666666666668,0.16666666666666666,1
California,222.32142857142858,103.42857142857143,51.55357142857143,328.42857142857144,177.125,95.67857142857143,36.910714285714285,16.696428571428573,1.8214285714285714,0.19642857142857142,3.3392857142857144,45.94642857142857,220.57142857142858,45.785714285714285,12.785714285714286,1
Canada,133,47,34,188,179,7,2,0,0,0,0,0,188,0,0,1
Colorado,131.2,53.5,30.366666666666667,254.33333333333334,200.06666666666666,50.86666666666667,3.1333333333333333,0.13333333333333333,0.06666666666666667,0.06666666666666667,15.033333333333333,14.533333333333333,98.23333333333333,25.866666666666667,100.66666666666667,1
Connecticut,211.875,99.375,44.5,306.125,195.625,82,15.625,10.5,2.375,0,6.375,44.25,199.5,46.75,9.25,1
Country Of Mexico,795.3333333333334,131.33333333333334,73.66666666666667,236.66666666666666,56.666666666666664,107,38.666666666666664,17.666666666666668,15,1.6666666666666667,59.666666666666664,15,114.66666666666667,0,47.333333333333336,1
Delaware,205.66666666666666,123.66666666666667,55,304.3333333333333,121.33333333333333,141.66666666666666,25.333333333333332,14.333333333333334,1.6666666666666667,0,0,11.333333333333334,173.66666666666666,119.33333333333333,0,1
District Of Columbia,210,129,63,365,84,222,35,22,2,0,1,49,102,213,0,1
Florida,133.42424242424244,68.75757575757575,39.121212121212125,290.6969696969697,183.03030303030303,94.57575757575758,11.606060606060606,1.4545454545454546,0.030303030303030304,0,1.0606060606060606,4.515151515151516,182.36363636363637,79.03030303030303,23.727272727272727,1
Georgia,168.03225806451613,114.64516129032258,56,189.06451612903226,77.16129032258064,76.58064516129032,22.838709677419356,10.129032258064516,2.3548387096774195,0,0.41935483870967744,10.516129032258064,111.06451612903226,55.645161290322584,11.419354838709678,1
