state,avg_max_aqi,avg_x90th_percentile_aqi,avg_median_aqi,year,avg_max_aqi_2020,avg_x90th_percentile_aqi_2020,avg_median_aqi_2020
New Hampshire,126.7,58.1,35.6,2000,NA,NA,NA
New Jersey,184.1764705882353,80.52941176470588,40.76470588235294,2000,NA,NA,NA
New Mexico,87,54.94444444444444,30.77777777777778,2000,NA,NA,NA
New York,161.5,65.38235294117646,37.11764705882353,2000,NA,NA,NA
North Carolina,154.0392156862745,94.82352941176471,53.431372549019606,2000,NA,NA,NA
North Dakota,67.16666666666667,42.333333333333336,26.333333333333332,2000,NA,NA,NA
Ohio,158.5,79.8913043478261,44.30434782608695,2000,NA,NA,NA
Oklahoma,124.08,78.64,45.08,2000,NA,NA,NA
Oregon,118.05555555555556,66.27777777777777,35.05555555555556,2000,NA,NA,NA
Pennsylvania,180.71428571428572,80.77142857142857,44.2,2000,NA,NA,NA
Puerto Rico,78.75,51.9375,30.4375,2000,NA,NA,NA
Rhode Island,203.66666666666666,76,45.666666666666664,2000,NA,NA,NA
South Carolina,150.88888888888889,90.4074074074074,49.407407407407405,2000,NA,NA,NA
South Dakota,108.16666666666667,56.166666666666664,31,2000,NA,NA,NA
Tennessee,165.24137931034483,100.37931034482759,51.275862068965516,2000,NA,NA,NA
Texas,158.25714285714287,87.94285714285714,42.885714285714286,2000,NA,NA,NA
Utah,118.61538461538461,62.92307692307692,31.692307692307693,2000,NA,NA,NA
Vermont,134.75,62.75,35.75,2000,NA,NA,NA
Virgin Islands,84,53,31.666666666666668,2000,NA,NA,NA
Virginia,123.45,71.325,38.675,2000,NA,NA,NA
Washington,105.17391304347827,57.56521739130435,33.30434782608695,2000,NA,NA,NA
West Virginia,141.88235294117646,83.05882352941177,50.294117647058826,2000,NA,NA,NA
Wisconsin,145.875,70.34375,41.53125,2000,NA,NA,NA
Wyoming,107.5,54.285714285714285,27.928571428571427,2000,NA,NA,NA
Alabama,137.23809523809524,81.52380952380952,48.666666666666664,2001,NA,NA,NA
Alaska,84.75,57.75,23.25,2001,NA,NA,NA
Arizona,104.3076923076923,66.53846153846153,40.76923076923077,2001,NA,NA,NA
Arkansas,104.04761904761905,74.95238095238095,53.38095238095238,2001,NA,NA,NA
California,672.9272727272727,99.67272727272727,50.03636363636364,2001,NA,NA,NA
Canada,95.5,52.5,33.5,2001,NA,NA,NA
Colorado,94.33333333333333,52.833333333333336,30.766666666666666,2001,NA,NA,NA
Connecticut,208.5,96.875,45.75,2001,NA,NA,NA
Country Of Mexico,373.3333333333333,134.33333333333334,69.66666666666667,2001,NA,NA,NA
Delaware,199,104,57.666666666666664,2001,NA,NA,NA
District Of Columbia,203,106,65,2001,NA,NA,NA
Florida,142.40540540540542,63.86486486486486,39.5945945945946,2001,NA,NA,NA
Georgia,154.5151515151515,86.54545454545455,49.24242424242424,2001,NA,NA,NA
Hawaii,124.66666666666667,38,22.666666666666668,2001,NA,NA,NA
Idaho,99.47368421052632,55.1578947368421,29.68421052631579,2001,NA,NA,NA
Illinois,144.92,78.44,40.76,2001,NA,NA,NA
Indiana,139,85.95348837209302,44.51162790697674,2001,NA,NA,NA
Iowa,111.73684210526316,63.78947368421053,39.8421052631579,2001,NA,NA,NA
Kansas,105.18181818181819,63.45454545454545,36,2001,NA,NA,NA
Kentucky,148.75675675675674,83.51351351351352,44.5945945945946,2001,NA,NA,NA
Louisiana,141.1851851851852,74.55555555555556,45.7037037037037,2001,NA,NA,NA
Maine,147.69230769230768,62.76923076923077,31.153846153846153,2001,NA,NA,NA
Maryland,185.2,105.26666666666667,47.4,2001,NA,NA,NA
Massachusetts,186.54545454545453,92,49,2001,NA,NA,NA
Michigan,159.25806451612902,90.19354838709677,43.225806451612904,2001,NA,NA,NA
Minnesota,113.36842105263158,61.10526315789474,35,2001,NA,NA,NA
Mississippi,128.89473684210526,82,49.73684210526316,2001,NA,NA,NA
Missouri,191.33333333333334,78.57142857142857,46.04761904761905,2001,NA,NA,NA
Montana,88.2,43.15,18.5,2001,NA,NA,NA
Nebraska,85.5,59.75,37.166666666666664,2001,NA,NA,NA
Nevada,124.42857142857143,68.71428571428571,40.857142857142854,2001,NA,NA,NA
New Hampshire,171.9,74.1,40.3,2001,NA,NA,NA
New Jersey,185.2941176470588,94.52941176470588,43,2001,NA,NA,NA
New Mexico,87.22222222222223,49.05555555555556,28.88888888888889,2001,NA,NA,NA
New York,161.74285714285713,77.6,39.57142857142857,2001,NA,NA,NA
North Carolina,146.6346153846154,94,52.55769230769231,2001,NA,NA,NA
North Dakota,76.16666666666667,48.5,29.666666666666668,2001,NA,NA,NA
Ohio,155.24444444444444,91.42222222222222,46.355555555555554,2001,NA,NA,NA
Oklahoma,127.04347826086956,78.91304347826087,43.82608695652174,2001,NA,NA,NA
Oregon,133.61111111111111,63.5,34.333333333333336,2001,NA,NA,NA
Pennsylvania,181.85714285714286,102.42857142857143,49.628571428571426,2001,NA,NA,NA
Puerto Rico,74,49.4375,30.8125,2001,NA,NA,NA
Rhode Island,212,97.66666666666667,48.666666666666664,2001,NA,NA,NA
South Carolina,132.25925925925927,83.92592592592592,46.851851851851855,2001,NA,NA,NA
South Dakota,76.125,50.75,29.25,2001,NA,NA,NA
Tennessee,150.03333333333333,88.7,48.7,2001,NA,NA,NA
Texas,150.75,80.02777777777777,43.69444444444444,2001,NA,NA,NA
Utah,120.6923076923077,64.53846153846153,35,2001,NA,NA,NA
Vermont,130.75,69.75,40.25,2001,NA,NA,NA
Virgin Islands,80.33333333333333,50.666666666666664,26.333333333333332,2001,NA,NA,NA
Virginia,135.075,75.7,39.525,2001,NA,NA,NA
Washington,109,55.76,32.68,2001,NA,NA,NA
West Virginia,145.8235294117647,87.3529411764706,51.05882352941177,2001,NA,NA,NA
Wisconsin,157.57575757575756,79.51515151515152,42.36363636363637,2001,NA,NA,NA
Wyoming,101,53.57142857142857,30,2001,NA,NA,NA
Alabama,143.95454545454547,80.54545454545455,46.27272727272727,2002,NA,NA,NA
Alaska,94.14285714285714,50.142857142857146,24.571428571428573,2002,NA,NA,NA
Arizona,126.92307692307692,76.92307692307692,44.84615384615385,2002,NA,NA,NA
Arkansas,114.28571428571429,72.19047619047619,50.285714285714285,2002,NA,NA,NA
California,457.2962962962963,105.24074074074075,52.574074074074076,2002,NA,NA,NA
Canada,104.5,41.5,23.5,2002,NA,NA,NA
Colorado,101.89285714285714,59.82142857142857,32.357142857142854,2002,NA,NA,NA
Connecticut,220.625,117.125,46.625,2002,NA,NA,NA
Country Of Mexico,728,129.66666666666666,63,2002,NA,NA,NA
Delaware,198,115.33333333333333,56.666666666666664,2002,NA,NA,NA
District Of Columbia,225,119,62,2002,NA,NA,NA
Florida,119.69444444444444,58.27777777777778,39.138888888888886,2002,NA,NA,NA
Georgia,154.26470588235293,88.11764705882354,47.55882352941177,2002,NA,NA,NA
Hawaii,77.25,30.5,19.75,2002,NA,NA,NA
Idaho,96.08333333333333,60.125,32.458333333333336,2002,NA,NA,NA
Illinois,167.68,87.2,40.56,2002,NA,NA,NA
Indiana,162.07142857142858,99.97619047619048,47.69047619047619,2002,NA,NA,NA
Iowa,108.7,66.45,39.9,2002,NA,NA,NA
Kansas,106,67.26666666666667,36.46666666666667,2002,NA,NA,NA
Kentucky,163.76315789473685,92.05263157894737,43.71052631578947,2002,NA,NA,NA
Louisiana,131.85185185185185,63.333333333333336,42.7037037037037,2002,NA,NA,NA
Maine,155.76923076923077,60.92307692307692,30.23076923076923,2002,NA,NA,NA
Maryland,205.92307692307693,126.61538461538461,50.23076923076923,2002,NA,NA,NA
Massachusetts,206.0909090909091,94.27272727272727,46.54545454545455,2002,NA,NA,NA
Michigan,168.1,92.33333333333333,44.333333333333336,2002,NA,NA,NA
Minnesota,104.3125,58.8125,33.9375,2002,NA,NA,NA
Mississippi,140.85,71.6,48,2002,NA,NA,NA
Missouri,146.2,89.35,51.45,2002,NA,NA,NA
Montana,75.86363636363636,40,17.318181818181817,2002,NA,NA,NA
Nebraska,80.5,58.142857142857146,32.5,2002,NA,NA,NA
Nevada,173.42857142857142,69.71428571428571,39.857142857142854,2002,NA,NA,NA
