"State","Year","Avg_Days_with_AQI","Avg_Good_Days","Avg_Moderate_Days","Avg_Unhealthy_for_Sensitive_Groups_Days","Avg_Unhealthy_Days","Avg_Very_Unhealthy_Days","Avg_Hazardous_Days","Avg_Max_AQI","Avg_90th_Percentile_AQI","Avg_Median_AQI","Avg_Days_CO","Avg_Days_NO2","Avg_Days_Ozone","Avg_Days_PM2.5","Avg_Days_PM10"
"Tennessee",2014,270.958333333333,187.166666666667,83.2916666666667,0.5,0,0,0,92.2083333333333,59.5,42.8333333333333,0.208333333333333,4.83333333333333,145.041666666667,105.416666666667,15.4583333333333
"Tennessee",2015,259,189.958333333333,68.5416666666667,0.5,0,0,0,90.625,57.875,41.2083333333333,0.25,4.41666666666667,141.125,97.1666666666667,16.0416666666667
"Tennessee",2016,239.416666666667,171.958333333333,65.4166666666667,1.625,0.416666666666667,0,0,113.458333333333,57.5416666666667,41,0.0833333333333333,2.58333333333333,145.166666666667,89.8333333333333,1.75
"Tennessee",2017,302.565217391304,220.260869565217,81.9130434782609,0.347826086956522,0.0434782608695652,0,0,90.8695652173913,56.9565217391304,41.9130434782609,0,0.478260869565217,136.478260869565,162.695652173913,2.91304347826087
"Tennessee",2018,334,242.434782608696,90.3913043478261,1.1304347826087,0.0434782608695652,0,0,98.7391304347826,59.0869565217391,40.5217391304348,0,0.521739130434783,130.347826086957,203.130434782609,0
"Tennessee",2019,338,240.608695652174,96.9565217391304,0.434782608695652,0,0,0,87.0869565217391,57.6521739130435,41.2173913043478,0,0.565217391304348,133.521739130435,203.695652173913,0.217391304347826
"Tennessee",2021,338.304347826087,245.086956521739,92.2608695652174,0.956521739130435,0,0,0,102.130434782609,57.9130434782609,40.2608695652174,0,0.260869565217391,128,210.04347826087,0
"Texas",1999,295.642857142857,199.214285714286,69.4285714285714,17.1428571428571,7.89285714285714,1.96428571428571,0,164.214285714286,90.4285714285714,41.8928571428571,4.42857142857143,23.75,233.392857142857,27.1428571428571,6.92857142857143
"Texas",2000,280,167.057142857143,89.5142857142857,17.0571428571429,5.51428571428571,0.857142857142857,0,158.257142857143,87.9428571428571,42.8857142857143,4.28571428571429,9.65714285714286,183.428571428571,80.5142857142857,2.11428571428571
"Texas",2001,299.666666666667,185.444444444444,97.3888888888889,13.25,3,0.555555555555556,0.0277777777777778,150.75,80.0277777777778,43.6944444444444,2.33333333333333,9.11111111111111,188.055555555556,96.4166666666667,3.75
"Texas",2002,308.444444444444,193.305555555556,95.1388888888889,14.4166666666667,4.69444444444444,0.833333333333333,0.0555555555555556,172.333333333333,80.6666666666667,42.7777777777778,1.86111111111111,8.5,192.194444444444,98.0555555555556,7.83333333333333
"Texas",2003,291.666666666667,181.615384615385,91.5384615384615,14.0512820512821,3.71794871794872,0.641025641025641,0.102564102564103,177.025641025641,82.1282051282051,43.4102564102564,1.71794871794872,9.38461538461539,201.974358974359,69.4871794871795,9.1025641025641
"Texas",2004,306.5,210.473684210526,79.6315789473684,12.5789473684211,3.36842105263158,0.447368421052632,0,153.552631578947,76.7894736842105,39.8684210526316,0.973684210526316,11.0263157894737,221.789473684211,63.6052631578947,9.10526315789474
"Texas",2005,324.536585365854,163.560975609756,139.731707317073,17.2926829268293,3.63414634146341,0.317073170731707,0,144.560975609756,84.6829268292683,47.2682926829268,0.0731707317073171,4.1219512195122,154.121951219512,164.243902439024,1.97560975609756
"Texas",2006,342.1,187.525,135.55,15.2,3.35,0.4,0.075,160.5,81.975,46.55,0.025,4.075,162.525,171.425,4.05
"Texas",2007,332.309523809524,191.595238095238,131.666666666667,7.73809523809524,1.26190476190476,0.0476190476190476,0,131.952380952381,69.3095238095238,44.8095238095238,0.119047619047619,3.45238095238095,150.761904761905,176.285714285714,1.69047619047619
"Texas",2008,335.581395348837,201.325581395349,126.813953488372,6.83720930232558,0.581395348837209,0.0232558139534884,0,127.906976744186,68.1395348837209,44.8604651162791,0.0930232558139535,3.69767441860465,159.372093023256,171.279069767442,1.13953488372093
"Texas",2009,336.8,211.777777777778,118.866666666667,5.26666666666667,0.844444444444444,0.0444444444444444,0,122.488888888889,66.8222222222222,43.6444444444444,0.111111111111111,3.06666666666667,164.2,168.711111111111,0.711111111111111
"Texas",2010,339.066666666667,223.066666666667,109.711111111111,5.57777777777778,0.711111111111111,0,0,120.111111111111,64.5777777777778,42.9111111111111,0.0888888888888889,2.4,167.4,168.733333333333,0.444444444444444
"Texas",2011,334.866666666667,190.422222222222,130.377777777778,12.1111111111111,1.88888888888889,0.0666666666666667,0,147.355555555556,78.8,46.4666666666667,0.0222222222222222,2.62222222222222,179.222222222222,152.088888888889,0.911111111111111
"Texas",2012,342.372093023256,205.488372093023,127.302325581395,8.2093023255814,1.09302325581395,0.232558139534884,0.0465116279069767,154.488372093023,71.2790697674419,45.3720930232558,0.0232558139534884,1.51162790697674,174.511627906977,165.395348837209,0.930232558139535
"Texas",2013,344.093023255814,225.651162790698,112.395348837209,5.6046511627907,0.441860465116279,0,0,126.558139534884,67.3720930232558,43.046511627907,0.0697674418604651,1.72093023255814,175.953488372093,165.720930232558,0.627906976744186
"Texas",2014,339.93023255814,225,112.511627906977,2.25581395348837,0.162790697674419,0,0,110.395348837209,61.6744186046512,42.5348837209302,0.116279069767442,2.25581395348837,171.232558139535,165.697674418605,0.627906976744186
"Texas",2015,349.756097560976,238.219512195122,105.634146341463,5.14634146341463,0.731707317073171,0.024390243902439,0,122.731707317073,64.8048780487805,41.609756097561,0.024390243902439,2.17073170731707,188.243902439024,159,0.317073170731707
"Texas",2016,343.428571428571,256.428571428571,85,1.9047619047619,0.0952380952380952,0,0,106.02380952381,57.3571428571429,40.1904761904762,0.0238095238095238,1.97619047619048,193.714285714286,147.595238095238,0.119047619047619
"Texas",2017,343.690476190476,244.738095238095,95.6190476190476,3.16666666666667,0.142857142857143,0.0238095238095238,0,114.619047619048,60,41.5952380952381,0.0714285714285714,2.19047619047619,181.404761904762,159.952380952381,0.0714285714285714
"Texas",2018,346.214285714286,240.02380952381,100.357142857143,5.21428571428571,0.571428571428571,0.0476190476190476,0,130.428571428571,62.7142857142857,40.9047619047619,0.0238095238095238,2.28571428571429,179.619047619048,164.119047619048,0.166666666666667
"Texas",2019,352.19512195122,243.80487804878,105,3.14634146341463,0.219512195121951,0.024390243902439,0,115.951219512195,60.390243902439,42.219512195122,0.024390243902439,1.39024390243902,191.560975609756,159.073170731707,0.146341463414634
"Texas",2021,357.555555555556,249.866666666667,104.111111111111,3.2,0.355555555555556,0.0222222222222222,0,112.688888888889,59.9333333333333,40.5555555555556,0.0444444444444444,17.8,170.311111111111,168.688888888889,0.711111111111111
"Utah",1999,258.444444444444,140.333333333333,107.888888888889,9.33333333333333,0.777777777777778,0.111111111111111,0,124.333333333333,68.4444444444444,40.4444444444444,17.7777777777778,56.5555555555556,110.333333333333,54.1111111111111,19.6666666666667
"Utah",2000,200.538461538462,121.538461538462,67.3846153846154,9.30769230769231,2.07692307692308,0.230769230769231,0,118.615384615385,62.9230769230769,31.6923076923077,20.5384615384615,26.8461538461538,79.6923076923077,62.4615384615385,11
"Utah",2001,220.076923076923,130.923076923077,75,10.7692307692308,3.23076923076923,0.153846153846154,0,120.692307692308,64.5384615384615,35,15.3846153846154,30.6153846153846,89,71.8461538461538,13.2307692307692
"Utah",2002,208.714285714286,115.714285714286,76.4285714285714,13.0714285714286,3.42857142857143,0.0714285714285714,0,114.785714285714,66.2142857142857,34.5,4.92857142857143,35.3571428571429,81.8571428571429,72.3571428571429,14.2142857142857
"Utah",2003,206,121.571428571429,73.1428571428571,10.4285714285714,0.785714285714286,0.0714285714285714,0,115.714285714286,61.3571428571429,32.1428571428571,1.85714285714286,41.6428571428571,81.1428571428571,66.4285714285714,14.9285714285714
"Utah",2004,260.75,154,92.6666666666667,9.08333333333333,4.83333333333333,0.166666666666667,0,118.166666666667,66,36.4166666666667,0.833333333333333,41.9166666666667,127.666666666667,77.4166666666667,12.9166666666667
"Utah",2005,249.846153846154,154.846153846154,77.1538461538462,14.5384615384615,3.07692307692308,0.230769230769231,0,132.692307692308,70.6923076923077,36.1538461538462,0.615384615384615,41.0769230769231,126.461538461538,72,9.69230769230769
"Utah",2006,253.384615384615,135.230769230769,104.153846153846,13.3846153846154,0.615384615384615,0,0,110.230769230769,68.6923076923077,38.7692307692308,0.384615384615385,28.3076923076923,134,81.2307692307692,9.46153846153846
"Utah",2007,284.916666666667,138.583333333333,128.166666666667,15.0833333333333,3.08333333333333,0,0,130.166666666667,79.75,46.8333333333333,0.25,30.0833333333333,149.583333333333,102.666666666667,2.33333333333333
"Utah",2008,293.5,136.333333333333,145.916666666667,10.3333333333333,0.916666666666667,0,0,124,73.75,45.8333333333333,0.25,23.4166666666667,139.833333333333,127.416666666667,2.58333333333333
"Utah",2009,300.25,151,137.833333333333,9.91666666666667,1.5,0,0,138.833333333333,71.1666666666667,44.75,0.0833333333333333,17.4166666666667,146.166666666667,134.75,1.83333333333333
"Utah",2010,307.538461538462,168.076923076923,126.461538461538,9,2.84615384615385,1.07692307692308,0.0769230769230769,169.769230769231,73.2307692307692,44,0,15.8461538461538,171.615384615385,117.615384615385,2.46153846153846
"Utah",2011,310.133333333333,184.733333333333,115.133333333333,7.46666666666667,2.2,0.6,0,136.666666666667,71.0666666666667,43.3333333333333,0,17.2,203.666666666667,88.4666666666667,0.8
"Utah",2012,337.666666666667,192.933333333333,136,8.4,0.333333333333333,0,0,129.666666666667,75.9333333333333,46.3333333333333,0,16.8,235.266666666667,84.3333333333333,1.26666666666667
"Utah",2013,330.933333333333,193.133333333333,115.333333333333,14.7333333333333,6,1.73333333333333,0,144.866666666667,86.2666666666667,46.4666666666667,0,17.6666666666667,224.2,88.6666666666667,0.4
