"State","Year","WeightedAvg_Days_with_AQI","WeightedAvg_Good_Days","WeightedAvg_Moderate_Days","WeightedAvg_Unhealthy_for_Sensitive_Groups_Days","WeightedAvg_Unhealthy_Days","WeightedAvg_Very_Unhealthy_Days","WeightedAvg_Hazardous_Days","WeightedAvg_Max_AQI","WeightedAvg_90th_Percentile_AQI","WeightedAvg_Median_AQI","WeightedAvg_Days_CO","WeightedAvg_Days_NO2","WeightedAvg_Days_Ozone","WeightedAvg_Days_PM2.5","WeightedAvg_Days_PM10"
"Alabama",1999,250.632980098217,91.4086327216335,117.891703282502,30.8578444042388,9.6986301369863,0.776169552856035,0,174.553114499871,107.978547428276,58.4515378650814,4.43215301111398,0,148.167743602998,86.3822693202378,11.6508141638666
"Alabama",2000,254.420433996383,95.4615732368897,120.38856238698,32.2719258589512,5.78096745027125,0.517405063291139,0,170.052893309222,106.502712477396,57.6320072332731,3.22649186256781,1.21971066907776,154.937839059675,88.8171338155515,6.21925858951175
"Alabama",2001,265.87932159165,133.855838225701,112.024570558817,16.4764079147641,2.88758425744727,0.634920634920635,0,156.439878234399,88.1306805827354,50.1098064796695,5.07936507936508,0.309849967384214,164.161774298761,91.1213307240704,5.20700152207002
"Alabama",2002,277.451084887705,148.866006851922,109.342025123715,16.6608298439284,2.45907879710697,0.123144271031595,0,157.772554244385,86.2223068138561,47.6878568709555,3.18405024743053,1.3429767795965,173.105633802817,91.8401218119528,7.97830224590788
"Alabama",2003,284.228276353276,150.993055555556,121.147792022792,11.3468660968661,0.740562678062678,0,0,145.718304843305,79.3623575498575,48.5240384615385,2.51388888888889,0.688924501424501,175.551638176638,97.0831552706553,8.39066951566952
"Alabama",2004,283.190540540541,161.698986486486,112.644087837838,8.26300675675676,0.523817567567568,0.0606418918918919,0,132.940202702703,75.6476351351351,46.7246621621622,0.618243243243243,0.740540540540541,173.901013513514,99.3439189189189,8.58682432432432
"Alabama",2005,281.658587987355,145.399016508606,124.139796276783,11.236564805058,0.883210396909027,0,0,135.085353003161,81.9125395152792,49.4629434492448,2.11538461538462,0.0381102915349491,168.553213909378,103.079557428872,7.87232174218476
"Alabama",2006,291.034838250978,142.443654461429,132.850515463918,14.12442232492,1.55136864557412,0.0648773551368646,0,146.10593672236,84.5408816210451,51.302879488091,2.9194809811589,0,183.880732314255,96.2559544969783,7.97867045858514
"Alabama",2007,299.683393501805,128.578880866426,149.881588447653,18.4617328519856,2.69530685920578,0.065884476534296,0,160.657400722022,90.2823104693141,53.3148014440433,1.18592057761733,0,168.632129963899,121.587184115523,8.27815884476534
"Alabama",2008,297.288529759559,147.950729207726,144.340362633031,4.5969649191959,0.400472999605834,0,0,120.335041387466,72.0147812376823,48.9698462751281,1.44264879779267,0,139.356917619235,147.068979109184,9.41998423334647
"Alabama",2009,304.228985507246,177.76038647343,125.314009661836,1.15458937198068,0,0,0,103.891400966184,63.1114975845411,45.6539130434783,0.282125603864734,0,127.272077294686,167.417777777778,9.25700483091788
"Alabama",2010,315.087264590714,132.432966623159,177.498601528995,4.77978743240724,0.375909006153272,0,0,118.254894648518,74.0087637516315,51.5381316427373,0,0,126.427186276338,178.286406861831,10.3736714525452
"Alabama",2011,274.412537060568,161.436044049132,107.348369335028,5.10461668784413,0.523506988564168,0,0,117.119229140195,72.6793731469716,46.5362134688691,0.0772977551884795,0,167.772765777213,100.56776789496,5.99470563320627
"Alabama",2012,284.899129658558,184.596741798706,95.6304396340103,4.34523543851819,0.326712787324258,0,0,116.941084579335,65.9801383619728,44.1959384066057,0,0,178.096183887525,102.294577103325,4.5083686677081
"Alabama",2013,281.588661551577,205.674339300938,75.6979965899403,0.216325660699062,0,0,0,89.7263427109974,57.4286018755328,41.5737425404945,0,0,172.398550724638,105.394714407502,3.79539641943734
"Alabama",2014,282.01023890785,201.30183447099,79.6382252559727,1.07017918088737,0,0,0,95.8071672354949,59.3690273037543,41.8596416382253,0,0.38929180887372,173.673634812287,103.904010238908,4.04330204778157
"Alabama",2015,314.853800038677,178.826339199381,134.584026300522,1.2316766582866,0.211757880487333,0,0,110.391026880681,61.2920131502611,45.76716302456,0,0.141171920324889,117.439180042545,193.719203248888,3.55424482691936
"Alabama",2016,309.295436349079,188.306244995997,119.060648518815,1.57125700560448,0.35728582866293,0,0,119.763210568455,59.6569255404323,45.4649719775821,0,0.293034427542034,134.611689351481,170.045036028823,4.34567654123299
"Alabama",2017,312.373157486424,203.114235841738,108.180760279286,0.941233514352211,0.0698215671062839,0.0671062839410396,0,112.941621411947,59.2148952676493,44.0091155934833,0,0.0707913110938712,144.520946470132,164.072148952676,3.70927075252133
"Alabama",2018,316.065095846645,206.391373801917,109.060702875399,0.475439297124601,0.137579872204473,0,0,102.837060702875,59.1144169329073,42.6046325878594,0,0.0728833865814696,138.832667731629,176.94089456869,0.218650159744409
"Alabama",2019,313.366693679092,198.060372771475,114.122771474878,1.18354943273906,0,0,0,92.5583468395462,59.7007698541329,44.6938816855754,0,0,141.423217179903,171.283630470016,0.65984602917342
"Alabama",2021,320.263229308005,213.690185436454,105.751922207146,0.656037991858887,0.165083672546359,0,0,97.4841700587969,58.1521935775667,42.1555857078245,0,0.0825418362731796,124.069425599276,195.061736770692,1.04952510176391
"Alaska",1999,270.043776824034,235.442918454936,32.5656652360515,1.66351931330472,0.371673819742489,0,0,116.500429184549,55.3673819742489,28.456652360515,68.1957081545064,0,111.241201716738,51.1665236051502,39.4403433476395
"Alaska",2000,260.750410509031,227.105911330049,30.948275862069,2.09770114942529,0.598522167487685,0,0,117.633825944171,55.7545155993432,28.3891625615764,56.4860426929392,0,106.694581280788,73.6486042692939,23.9211822660099
"Alaska",2001,261.709090909091,223.792561983471,36.2074380165289,1.70909090909091,0,0,0,98.8727272727273,60.2066115702479,30.7157024793388,56.4148760330579,0,107.403305785124,75.399173553719,22.4917355371901
"Alaska",2002,239.047337278107,206.289940828402,31.1775147928994,1.40384615384615,0.17603550295858,0,0,102.62426035503,52.176775147929,28.2344674556213,48.1294378698225,0,84.9534023668639,84.9733727810651,20.991124260355
"Alaska",2003,246.132188200149,226.391336818521,18.7244212098581,0.694548170276326,0.0903659447348768,0,0.231516056758775,177.059746079164,47.4846900672143,23.698282300224,49.9940253920836,0,98.4077669902913,72.9193427931292,24.8110530246453
"Alaska",2004,223.799741602067,203.774547803618,17.0710594315245,0.986434108527132,0.436046511627907,0.581395348837209,0.950258397932817,232.887596899225,50.328811369509,22.265503875969,46.6976744186046,0,84.4186046511628,72.2248062015504,20.4586563307494
"Alaska",2005,228.696487740225,207.53015241882,20.2047713717694,0.612326043737575,0.349237905897946,0,0,107.000662690524,47.1093439363817,23.1683233929755,42.3949635520212,0,86.1100066269052,80.2664015904572,19.9251159708416
"Alaska",2006,254.797229219144,209.214735516373,40.6593198992443,4.49748110831234,0.425692695214106,0,0,101.137279596977,53.786523929471,26.5195214105793,19.1863979848866,0,80.4811083123426,135.724181360201,19.4055415617128
"Alaska",2007,251.815839094909,209.24512884978,39.12256442489,3.03079824010057,0.417347580138278,0,0,101.59333752357,50.3218101822753,25.6247642991829,24.0716530483972,0,78.7630421118793,127.862350722816,21.1187932118165
"Alaska",2008,272.237668161435,228.545964125561,37.0056053811659,5.26177130044843,1.42432735426009,0,0,114.664237668161,53.8525784753363,22.6233183856502,25.0594170403587,0,72.2421524663677,155.813340807175,19.1227578475336
"Alaska",2009,282.681129116571,214.008886565604,58.8635650810246,6.16152639832723,2.51176163094616,0.946157867224255,0.189231573444851,160.371144798745,61.5243073706221,29.8881338212232,2.46001045478306,0,65.1191845269211,203.194458964976,11.9074751698902
"Alaska",2010,314.095851216023,239.81020505484,67.3876967095851,5.54363376251788,1.35431568907964,0,0,106.084406294707,58.8540772532189,29.934191702432,2.07916070577015,0,78.3290414878398,223.752503576538,9.93514544587506
"Alaska",2011,322.06102003643,247.970400728597,68.2773224043716,4.81739526411658,0.831056466302368,0.164845173041894,0,115.888433515483,56.2090163934426,32.4285063752277,1.82832422586521,0,90.6762295081967,211.691712204007,17.8647540983607
